task,family,spearman,pearson,mae,rmse,r2,n
koenig_binding,abmap,0.29803719660562966,0.34030139446258545,0.4391278922557831,0.5881583025804124,-0.12069034576416016,4275
koenig_binding,esm2,0.31807667454935523,0.3312922716140747,0.5587969422340393,0.7292666820779761,-0.7229390144348145,4275
koenig_expression,abmap,0.6276367602152166,0.6480945348739624,0.3413587808609009,0.43875205172632326,0.40973931550979614,4275
koenig_expression,esm2,0.8232752386800049,0.8493316173553467,0.2244231402873993,0.3019399741246524,0.7204582095146179,4275
warszawski_binding,abmap,0.3870684833026846,0.3895065188407898,0.9998579025268555,1.2519288440081549,0.062400639057159424,2048
warszawski_binding,esm2,0.5499806338816036,0.5367624163627625,1.0237908363342285,1.2954151255558664,-0.003866434097290039,2048
