task,family,model,spearman,pearson,mae,rmse,r2,n
all_tasks_combined,abmap,shared_task_mlp,0.88194261405839,0.9869877696037292,0.5197478532791138,0.7148374546795246,0.9740888476371765,10598
koenig_binding,abmap,shared_task_mlp,0.26214139001156633,0.3177267611026764,0.4358426034450531,0.5819989393853817,-0.09734082221984863,4275
koenig_expression,abmap,shared_task_mlp,0.5146978673327299,0.539792001247406,0.3811629116535187,0.481898081359044,0.2879410982131958,4275
warszawski_binding,abmap,shared_task_mlp,0.3677889664500793,0.3840174674987793,0.984174370765686,1.2051919299135603,0.1310986876487732,2048
all_tasks_combined,esm2,shared_task_mlp,0.9057674347159816,0.9887340068817139,0.45839011669158936,0.6649615316809067,0.9775784611701965,10598
koenig_binding,esm2,shared_task_mlp,0.38859050080080765,0.4097902774810791,0.3878902494907379,0.5341768421606408,0.07558435201644897,4275
koenig_expression,esm2,shared_task_mlp,0.7270233883911543,0.7662906050682068,0.2815162241458893,0.36810609882321255,0.5845186710357666,4275
warszawski_binding,esm2,shared_task_mlp,0.3897187845504395,0.39760634303092957,0.9747586250305176,1.1873020207857863,0.15670323371887207,2048
